You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
torch.Size([16])
torch.Size([16, 1, 128, 256, 256])
Hyperparameters:
batch_size: 8
epochs: 300
learning_rate: 0.0005
n_heads: 4
n_layers: 3
dropout: 0.15
patch_size: 16
in_channels: 1
out_channels: 128
embedding_text_dim: 128
vocab_size: 32000
max_seq_length: 300
patience: 10
img_depth: 128
img_height: 256
img_width: 256
img_dims: (128, 256, 256)
Initializing data loader
Getting dataloaders
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
Finished loading the data
Device: cuda
Epoch 1: train_loss 11.5559, train_text_loss 10.2426, val_loss 10.8819, val_text_loss 10.0236, train_acc 0.5432, val_acc 0.6071
Epoch 2: train_loss 11.2860, train_text_loss 9.9455, val_loss 10.6524, val_text_loss 9.7432, train_acc 0.4568, val_acc 0.3929
Epoch 3: train_loss 10.4583, train_text_loss 9.6685, val_loss 10.1168, val_text_loss 9.4247, train_acc 0.4938, val_acc 0.5357
Epoch 4: train_loss 10.0714, train_text_loss 9.3515, val_loss 9.7686, val_text_loss 9.0807, train_acc 0.5432, val_acc 0.5714
Epoch 5: train_loss 9.6631, train_text_loss 9.0126, val_loss 9.4069, val_text_loss 8.7188, train_acc 0.6420, val_acc 0.6429
Epoch 6: train_loss 9.3563, train_text_loss 8.6523, val_loss 9.1411, val_text_loss 8.3600, train_acc 0.5556, val_acc 0.4286
Epoch 7: train_loss 9.0790, train_text_loss 8.3020, val_loss 8.7002, val_text_loss 8.0107, train_acc 0.5432, val_acc 0.6071
Epoch 8: train_loss 8.7303, train_text_loss 7.9509, val_loss 8.3985, val_text_loss 7.6763, train_acc 0.5802, val_acc 0.4286
Epoch 9: train_loss 8.2773, train_text_loss 7.6187, val_loss 8.1167, val_text_loss 7.3450, train_acc 0.5432, val_acc 0.3929
Epoch 10: train_loss 8.0226, train_text_loss 7.2881, val_loss 7.7184, val_text_loss 7.0323, train_acc 0.5432, val_acc 0.6429
Epoch 11: train_loss 7.6750, train_text_loss 6.9678, val_loss 7.4199, val_text_loss 6.7339, train_acc 0.6296, val_acc 0.6071
Epoch 12: train_loss 7.3671, train_text_loss 6.6814, val_loss 7.1537, val_text_loss 6.4689, train_acc 0.6173, val_acc 0.6071
Epoch 13: train_loss 7.1024, train_text_loss 6.4117, val_loss 6.9016, val_text_loss 6.2122, train_acc 0.5802, val_acc 0.6429
Epoch 14: train_loss 6.8250, train_text_loss 6.1558, val_loss 6.6655, val_text_loss 5.9887, train_acc 0.6173, val_acc 0.5357
Epoch 15: train_loss 6.7308, train_text_loss 5.9371, val_loss 6.4922, val_text_loss 5.7935, train_acc 0.5679, val_acc 0.6071
Epoch 16: train_loss 6.4669, train_text_loss 5.7567, val_loss 6.4309, val_text_loss 5.6422, train_acc 0.5679, val_acc 0.4286
Epoch 17: train_loss 6.3455, train_text_loss 5.6132, val_loss 6.2469, val_text_loss 5.5141, train_acc 0.5062, val_acc 0.4643
Epoch 18: train_loss 6.1820, train_text_loss 5.4823, val_loss 6.0632, val_text_loss 5.3893, train_acc 0.5062, val_acc 0.6429
Epoch 19: train_loss 6.0428, train_text_loss 5.3599, val_loss 5.9779, val_text_loss 5.2762, train_acc 0.5679, val_acc 0.6429
Epoch 20: train_loss 5.8661, train_text_loss 5.2303, val_loss 5.8621, val_text_loss 5.1781, train_acc 0.6296, val_acc 0.6429
Epoch 21: train_loss 5.8257, train_text_loss 5.1443, val_loss 5.8009, val_text_loss 5.0846, train_acc 0.5556, val_acc 0.6071
Epoch 22: train_loss 5.8128, train_text_loss 5.0630, val_loss 5.7109, val_text_loss 5.0130, train_acc 0.5556, val_acc 0.5357
